nameWithOwner,url,stargazers/totalCount,watchers/totalCount,forks/totalCount,releases/totalCount,createdAt,primaryLanguage/name,totalLOC
pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,1374,73,476,0,2013-09-20T08:18:58Z,Python,71446
JiahuiYu/generative_inpainting,https://github.com/JiahuiYu/generative_inpainting,1673,66,446,0,2018-01-24T06:17:13Z,Python,2885
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,44032,3333,10097,0,2014-07-15T19:11:19Z,Python,30
horovod/horovod,https://github.com/horovod/horovod,8874,325,1355,1,2017-08-09T19:39:59Z,Python,32830
python-openxml/python-docx,https://github.com/python-openxml/python-docx,2139,137,575,0,2013-10-15T14:50:41Z,Python,34140
rushter/MLAlgorithms,https://github.com/rushter/MLAlgorithms,7979,435,1360,0,2016-10-05T06:46:45Z,Python,4695
aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,9420,241,1332,119,2013-10-01T23:04:01Z,Python,53475
public-apis/public-apis,https://github.com/public-apis/public-apis,73202,2109,7980,0,2016-03-20T23:49:42Z,Python,223
Miserlou/SoundScrape,https://github.com/Miserlou/SoundScrape,1159,41,117,0,2013-12-29T22:32:46Z,Python,1558
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,33183,1496,9069,2,2017-03-03T21:52:39Z,Python,2948
quay/quay,https://github.com/quay/quay,1509,22,106,0,2019-11-08T17:37:05Z,Python,-1
home-assistant/core,https://github.com/home-assistant/core,32420,1141,9622,546,2013-09-17T07:29:48Z,Python,-1
python/mypy,https://github.com/python/mypy,8185,174,1215,0,2012-12-07T13:30:23Z,Python,-1
svinota/pyroute2,https://github.com/svinota/pyroute2,573,52,150,13,2013-04-08T05:38:22Z,Python,129541
DanMcInerney/LANs.py,https://github.com/DanMcInerney/LANs.py,2395,195,444,0,2013-01-03T19:33:52Z,Python,1600
yandex/yandex-tank,https://github.com/yandex/yandex-tank,1851,82,209,19,2012-07-23T11:05:58Z,Python,40031
sukeesh/Jarvis,https://github.com/sukeesh/Jarvis,1586,112,509,1,2017-03-10T22:09:14Z,Python,33878
tensorlayer/tensorlayer,https://github.com/tensorlayer/tensorlayer,5998,470,1331,72,2016-06-07T15:55:16Z,Python,-1
coleifer/peewee,https://github.com/coleifer/peewee,7402,201,1158,113,2010-10-11T20:14:11Z,Python,76502
vibora-io/vibora,https://github.com/vibora-io/vibora,5550,309,307,0,2018-06-13T15:58:58Z,Python,25475
locuslab/TCN,https://github.com/locuslab/TCN,2171,87,465,0,2018-03-02T22:56:39Z,Python,7436
vict0rsch/deep_learning,https://github.com/vict0rsch/deep_learning,419,40,167,0,2016-01-06T15:49:53Z,Python,1039
epinna/tplmap,https://github.com/epinna/tplmap,1618,84,324,6,2016-07-06T20:33:18Z,Python,6156
ghc-proposals/ghc-proposals,https://github.com/ghc-proposals/ghc-proposals,381,137,140,0,2016-07-09T20:28:50Z,Python,155
robotframework/robotframework,https://github.com/robotframework/robotframework,4451,433,1336,34,2014-06-27T11:10:38Z,Python,58797
reviewboard/reviewboard,https://github.com/reviewboard/reviewboard,1267,101,360,0,2009-08-22T21:39:49Z,Python,201921
experiencor/keras-yolo3,https://github.com/experiencor/keras-yolo3,1076,47,535,0,2018-04-08T09:18:10Z,Python,2443
idealo/image-super-resolution,https://github.com/idealo/image-super-resolution,1673,61,309,1,2018-11-26T13:41:13Z,Python,3751
mattupstate/flask-security,https://github.com/mattupstate/flask-security,1495,82,466,0,2012-03-07T19:44:05Z,Python,6687
blaze/blaze,https://github.com/blaze/blaze,2841,210,347,14,2012-10-26T14:25:22Z,Python,33315
MobileChromeApps/mobile-chrome-apps,https://github.com/MobileChromeApps/mobile-chrome-apps,2511,233,338,1,2013-05-14T01:41:07Z,Python,135
divio/django-filer,https://github.com/divio/django-filer,1264,54,484,0,2009-08-24T13:49:42Z,Python,9724
Hironsan/anago,https://github.com/Hironsan/anago,1297,62,334,5,2017-06-26T21:28:36Z,Python,2577
chartbeat-labs/textacy,https://github.com/chartbeat-labs/textacy,1402,89,201,25,2016-02-03T16:52:45Z,Python,21397
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat,1632,94,266,11,2016-07-30T08:38:26Z,Python,4586
ujjwalkarn/DataSciencePython,https://github.com/ujjwalkarn/DataSciencePython,3876,327,1101,0,2015-10-06T15:26:08Z,Python,815
commaai/research,https://github.com/commaai/research,3893,387,1135,0,2016-08-03T04:38:57Z,Python,2265
tqdm/tqdm,https://github.com/tqdm/tqdm,13888,178,687,81,2015-06-03T13:13:14Z,Python,7232
easy-tensorflow/easy-tensorflow,https://github.com/easy-tensorflow/easy-tensorflow,2818,108,330,1,2017-11-30T20:02:40Z,Python,2187
thinkst/opencanary,https://github.com/thinkst/opencanary,633,44,132,0,2015-08-05T14:44:09Z,Python,4770
flask-admin/flask-admin,https://github.com/flask-admin/flask-admin,4149,162,1144,12,2012-03-18T23:21:57Z,Python,26954
wzhe06/Reco-papers,https://github.com/wzhe06/Reco-papers,1543,137,430,0,2018-05-29T17:29:04Z,Python,65
giampaolo/psutil,https://github.com/giampaolo/psutil,6048,237,925,0,2014-05-23T14:01:48Z,Python,26314
tkarras/progressive_growing_of_gans,https://github.com/tkarras/progressive_growing_of_gans,5090,283,958,0,2017-10-27T09:04:34Z,Python,4019
psychopy/psychopy,https://github.com/psychopy/psychopy,842,68,514,63,2010-09-01T17:00:04Z,Python,94029
getnikola/nikola,https://github.com/getnikola/nikola,1861,82,289,69,2012-04-14T13:53:22Z,Python,32428
polyaxon/polyaxon,https://github.com/polyaxon/polyaxon,2366,76,209,65,2016-12-26T12:48:47Z,Python,171954
karpathy/arxiv-sanity-preserver,https://github.com/karpathy/arxiv-sanity-preserver,3609,167,1039,0,2015-11-28T04:47:22Z,Python,1576
13o-bbr-bbq/machine_learning_security,https://github.com/13o-bbr-bbq/machine_learning_security,1274,145,402,0,2017-05-01T20:33:43Z,Python,6187
fogleman/Minecraft,https://github.com/fogleman/Minecraft,4141,245,858,0,2012-01-30T15:28:39Z,Python,902
Neo23x0/Loki,https://github.com/Neo23x0/Loki,1539,165,342,43,2015-01-18T08:39:49Z,Python,4166
theskumar/python-dotenv,https://github.com/theskumar/python-dotenv,2891,31,185,0,2014-09-06T05:35:17Z,Python,1616
MVIG-SJTU/AlphaPose,https://github.com/MVIG-SJTU/AlphaPose,3762,175,996,0,2018-01-17T02:33:17Z,Python,13394
huggingface/transformers,https://github.com/huggingface/transformers,24416,529,5495,25,2018-10-29T13:56:00Z,Python,86578
IBM/AIX360,https://github.com/IBM/AIX360,508,27,105,1,2019-07-11T07:17:48Z,Python,9125
NVIDIA/pix2pixHD,https://github.com/NVIDIA/pix2pixHD,4403,158,882,0,2017-12-01T19:19:14Z,Python,2404
nabla-c0d3/sslyze,https://github.com/nabla-c0d3/sslyze,2142,139,293,43,2014-08-18T04:33:30Z,Python,10952
Lasagne/Lasagne,https://github.com/Lasagne/Lasagne,3725,218,933,1,2014-09-11T15:31:41Z,Python,23078
dropbox/PyHive,https://github.com/dropbox/PyHive,1211,59,350,16,2014-02-01T09:05:07Z,Python,14295
infosec-au/altdns,https://github.com/infosec-au/altdns,1150,55,249,0,2016-04-15T00:48:47Z,Python,383
detectRecog/CCPD,https://github.com/detectRecog/CCPD,838,48,304,0,2018-04-03T02:19:51Z,Python,1470
Toblerity/Shapely,https://github.com/Toblerity/Shapely,1740,83,327,0,2011-12-31T19:43:11Z,Python,16386
apache/airflow,https://github.com/apache/airflow,16166,674,6009,15,2015-04-13T18:04:58Z,Python,282029
lepture/flask-wtf,https://github.com/lepture/flask-wtf,1049,34,253,0,2012-02-29T16:38:52Z,Python,2212
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,6100,226,700,19,2017-06-16T05:03:47Z,Python,77695
miguelgrinberg/python-socketio,https://github.com/miguelgrinberg/python-socketio,1705,58,303,0,2015-07-15T06:17:03Z,Python,10765
sensepost/SPartan,https://github.com/sensepost/SPartan,231,18,65,0,2015-02-24T05:50:38Z,Python,828
conda/conda,https://github.com/conda/conda,3511,193,834,129,2012-10-15T22:08:03Z,Python,80358
tornadoweb/tornado,https://github.com/tornadoweb/tornado,18962,1064,4857,0,2009-09-09T04:55:16Z,Python,43900
pilotmoon/PopClip-Extensions,https://github.com/pilotmoon/PopClip-Extensions,1246,84,345,0,2012-11-08T16:24:44Z,Python,43900
mapbox/rasterio,https://github.com/mapbox/rasterio,1228,152,333,10,2013-11-04T16:36:27Z,Python,27544
Tuhinshubhra/CMSeeK,https://github.com/Tuhinshubhra/CMSeeK,1005,50,233,12,2018-06-14T00:15:51Z,Python,6559
1adrianb/face-alignment,https://github.com/1adrianb/face-alignment,3688,159,807,3,2017-09-15T20:32:44Z,Python,1612
sensepost/reGeorg,https://github.com/sensepost/reGeorg,1610,105,524,0,2014-08-08T00:58:12Z,Python,430
shirosaidev/stocksight,https://github.com/shirosaidev/stocksight,549,52,159,6,2017-09-25T03:29:01Z,Python,1294
tyiannak/pyAudioAnalysis,https://github.com/tyiannak/pyAudioAnalysis,3010,188,822,0,2014-08-27T12:43:13Z,Python,5318
mozilla/addons-server,https://github.com/mozilla/addons-server,643,86,408,19,2014-01-31T18:44:15Z,Python,-1
rootm0s/WinPwnage,https://github.com/rootm0s/WinPwnage,1767,97,262,0,2018-04-08T18:51:50Z,Python,5249
opencv/cvat,https://github.com/opencv/cvat,3335,141,819,9,2018-06-29T14:02:45Z,Python,35177
b-ryan/powerline-shell,https://github.com/b-ryan/powerline-shell,5133,160,664,0,2012-09-09T16:12:53Z,Python,2674
mcordts/cityscapesScripts,https://github.com/mcordts/cityscapesScripts,1040,42,338,0,2016-02-20T13:00:11Z,Python,7415
The-Art-of-Hacking/h4cker,https://github.com/The-Art-of-Hacking/h4cker,6147,430,872,0,2017-06-19T17:11:19Z,Python,638
formateddd/pornhub,https://github.com/formateddd/pornhub,436,67,126,0,2018-01-10T02:09:31Z,Python,141
frappe/frappe,https://github.com/frappe/frappe,1484,167,1104,840,2011-06-08T08:14:16Z,Python,-1
goodfeli/adversarial,https://github.com/goodfeli/adversarial,2722,148,857,0,2014-06-09T15:19:58Z,Python,4698
dbcli/mycli,https://github.com/dbcli/mycli,8555,207,517,0,2015-04-05T22:39:49Z,Python,8328
ethereum/sharding,https://github.com/ethereum/sharding,462,123,84,0,2017-07-07T13:39:20Z,Python,3420
rarcega/instagram-scraper,https://github.com/rarcega/instagram-scraper,3438,165,751,43,2013-04-09T03:12:09Z,Python,1572
eliben/pyelftools,https://github.com/eliben/pyelftools,987,65,323,0,2013-06-08T22:55:54Z,Python,28673
NicolasHug/Surprise,https://github.com/NicolasHug/Surprise,3896,141,710,0,2016-10-23T14:59:38Z,Python,6800
nesdis/djongo,https://github.com/nesdis/djongo,835,51,159,1,2017-07-12T14:00:41Z,Python,426904
yanshengjia/ml-road,https://github.com/yanshengjia/ml-road,775,64,369,0,2017-10-31T04:36:37Z,Python,387
angr/angr,https://github.com/angr/angr,4118,199,669,0,2015-08-06T21:46:55Z,Python,-1
falconry/falcon,https://github.com/falconry/falcon,7580,298,761,0,2012-12-06T18:17:51Z,Python,39106
mstamy2/PyPDF2,https://github.com/mstamy2/PyPDF2,3055,146,705,3,2012-01-06T17:13:38Z,Python,6457
Storyyeller/Krakatau,https://github.com/Storyyeller/Krakatau,1125,75,127,0,2012-10-20T01:36:08Z,Python,13456
facelessuser/BracketHighlighter,https://github.com/facelessuser/BracketHighlighter,1697,74,255,36,2011-09-16T18:51:35Z,Python,5367
html5lib/html5lib-python,https://github.com/html5lib/html5lib-python,830,46,228,0,2013-04-09T14:07:42Z,Python,16047
TheSpeedX/TBomb,https://github.com/TheSpeedX/TBomb,406,50,313,0,2018-08-19T06:45:50Z,Python,904
simonw/datasette,https://github.com/simonw/datasette,3266,69,169,41,2017-10-23T00:39:03Z,Python,32960
nipy/nipype,https://github.com/nipy/nipype,493,54,399,35,2010-07-22T17:06:49Z,Python,170508
linkedin/luminol,https://github.com/linkedin/luminol,739,57,155,0,2015-11-18T23:16:33Z,Python,2785
guillaumegenthial/tf_ner,https://github.com/guillaumegenthial/tf_ner,763,41,231,0,2018-09-16T23:58:35Z,Python,2567
jiaaro/pydub,https://github.com/jiaaro/pydub,4248,125,574,27,2011-05-02T18:42:38Z,Python,4488
SublimeCodeIntel/SublimeCodeIntel,https://github.com/SublimeCodeIntel/SublimeCodeIntel,5016,172,533,0,2011-05-31T00:53:31Z,Python,3660
Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,3632,72,160,2,2017-03-12T11:23:04Z,Python,952
gboeing/osmnx,https://github.com/gboeing/osmnx,2258,105,378,0,2016-07-24T02:57:47Z,Python,8418
almandin/fuxploider,https://github.com/almandin/fuxploider,1430,43,234,3,2017-07-14T09:30:06Z,Python,871
AKSHAYUBHAT/DeepVideoAnalytics,https://github.com/AKSHAYUBHAT/DeepVideoAnalytics,2846,222,675,1,2017-01-17T06:41:45Z,Python,24553
hgrecco/pint,https://github.com/hgrecco/pint,1105,37,270,0,2012-07-13T16:27:11Z,Python,20265
JiahuiYu/slimmable_networks,https://github.com/JiahuiYu/slimmable_networks,548,32,75,0,2018-11-21T03:47:34Z,Python,2450
yanx27/Pointnet_Pointnet2_pytorch,https://github.com/yanx27/Pointnet_Pointnet2_pytorch,289,5,81,0,2019-03-04T14:24:30Z,Python,5153
secynic/ipwhois,https://github.com/secynic/ipwhois,385,31,84,33,2013-09-07T17:35:10Z,Python,11520
jazzband/django-smart-selects,https://github.com/jazzband/django-smart-selects,820,52,276,8,2009-04-21T19:19:37Z,Python,1955
pywren/pywren,https://github.com/pywren/pywren,712,36,84,4,2016-10-03T03:07:42Z,Python,7245
metachris/logzero,https://github.com/metachris/logzero,888,31,56,0,2017-06-12T19:32:26Z,Python,1490
kivy/buildozer,https://github.com/kivy/buildozer,901,102,278,3,2012-07-16T16:34:32Z,Python,5074
foolwood/SiamMask,https://github.com/foolwood/SiamMask,2518,95,637,0,2019-03-04T11:34:17Z,Python,9821
Mjrovai/OpenCV-Object-Face-Tracking,https://github.com/Mjrovai/OpenCV-Object-Face-Tracking,139,5,122,0,2018-02-08T18:48:40Z,Python,944
yzhao062/anomaly-detection-resources,https://github.com/yzhao062/anomaly-detection-resources,2385,156,654,0,2018-05-16T20:02:54Z,Python,79
django/asgiref,https://github.com/django/asgiref,605,42,80,0,2015-12-23T17:07:13Z,Python,2343
lzx1413/PytorchSSD,https://github.com/lzx1413/PytorchSSD,650,23,207,0,2017-12-14T13:17:03Z,Python,9243
donnemartin/interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,19432,898,2839,0,2015-04-28T21:36:39Z,Python,4475
mapbox/mbutil,https://github.com/mapbox/mbutil,506,107,136,0,2011-02-14T01:48:06Z,Python,460
tensorlayer/openpose-plus,https://github.com/tensorlayer/openpose-plus,722,49,202,0,2018-08-25T09:59:09Z,Python,2821
coxlab/prednet,https://github.com/coxlab/prednet,600,34,214,0,2016-07-08T22:36:11Z,Python,798
ArduPilot/MAVProxy,https://github.com/ArduPilot/MAVProxy,259,46,395,0,2012-05-02T00:23:49Z,Python,39709
pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,1913,158,694,0,2013-09-12T07:18:21Z,Python,66930
waleedka/hiddenlayer,https://github.com/waleedka/hiddenlayer,1102,42,160,1,2018-05-18T22:34:51Z,Python,2506
pimutils/vdirsyncer,https://github.com/pimutils/vdirsyncer,708,31,76,0,2014-02-15T15:33:41Z,Python,9062
IBM/AIF360,https://github.com/IBM/AIF360,867,61,261,6,2018-08-22T20:47:15Z,Python,14874
achael/eht-imaging,https://github.com/achael/eht-imaging,5126,214,451,4,2015-09-22T15:41:48Z,Python,36668
Noctem/Monocle,https://github.com/Noctem/Monocle,122,43,118,0,2016-07-30T02:20:33Z,Python,10563
Pylons/webob,https://github.com/Pylons/webob,378,22,163,0,2011-09-17T19:32:24Z,Python,32064
ArduPilot/pymavlink,https://github.com/ArduPilot/pymavlink,132,43,261,0,2016-09-03T16:54:27Z,Python,21021
quark0/darts,https://github.com/quark0/darts,2706,101,541,0,2018-06-25T05:27:29Z,Python,3041
kushaldas/pym,https://github.com/kushaldas/pym,649,54,292,0,2013-07-09T14:23:04Z,Python,907
gorakhargosh/watchdog,https://github.com/gorakhargosh/watchdog,4001,138,481,8,2010-10-23T12:00:17Z,Python,8955
sovereign/sovereign,https://github.com/sovereign/sovereign,9618,269,766,0,2013-08-19T22:09:16Z,Python,444
mhallsmoore/qsforex,https://github.com/mhallsmoore/qsforex,543,138,293,0,2015-01-27T18:28:00Z,Python,1820
kliment/Printrun,https://github.com/kliment/Printrun,1429,169,713,2,2011-05-10T07:41:19Z,Python,17081
ShuLiu1993/PANet,https://github.com/ShuLiu1993/PANet,1034,24,233,0,2018-09-04T08:24:33Z,Python,15616
tableau/document-api-python,https://github.com/tableau/document-api-python,194,69,94,6,2016-05-09T20:38:09Z,Python,1882
tzutalin/labelImg,https://github.com/tzutalin/labelImg,10136,346,3301,2,2015-09-17T01:33:59Z,Python,3679
astorfi/TensorFlow-World,https://github.com/astorfi/TensorFlow-World,4482,173,411,1,2017-03-24T22:19:05Z,Python,2793
openai/universe,https://github.com/openai/universe,7187,461,858,2,2016-12-04T21:53:35Z,Python,15751
ritiek/spotify-downloader,https://github.com/ritiek/spotify-downloader,3444,105,473,11,2016-07-06T18:19:20Z,Python,3301
jupyter/nbgrader,https://github.com/jupyter/nbgrader,877,45,225,18,2014-09-13T03:27:36Z,Python,33876
mne-tools/mne-python,https://github.com/mne-tools/mne-python,1260,86,701,16,2011-01-28T03:31:13Z,Python,223876
daler/gffutils,https://github.com/daler/gffutils,140,14,55,0,2011-10-12T13:48:14Z,Python,8601
AppScale/appscale,https://github.com/AppScale/appscale,2408,159,262,29,2012-03-22T22:35:50Z,Python,346063
ctxis/CAPE,https://github.com/ctxis/CAPE,538,66,114,0,2016-09-16T11:36:21Z,Python,97040
sustained/CoffeeScript-Sublime-Plugin,https://github.com/sustained/CoffeeScript-Sublime-Plugin,295,14,73,0,2011-08-15T14:40:31Z,Python,161
nicholastoddsmith/pythonml,https://github.com/nicholastoddsmith/pythonml,106,15,120,0,2016-03-19T20:13:03Z,Python,1954
lmb-freiburg/demon,https://github.com/lmb-freiburg/demon,442,36,140,0,2017-04-21T11:35:28Z,Python,6220
ShawnBIT/UNet-family,https://github.com/ShawnBIT/UNet-family,940,53,220,0,2018-12-21T09:51:06Z,Python,285
django-money/django-money,https://github.com/django-money/django-money,854,27,195,36,2011-05-15T12:13:19Z,Python,4551
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,18298,571,2278,31,2010-02-16T04:10:13Z,Python,61641
deborausujono/word2vecpy,https://github.com/deborausujono/word2vecpy,234,13,139,0,2015-02-21T03:07:51Z,Python,388
nucypher/nucypher,https://github.com/nucypher/nucypher,307,31,120,2,2017-08-16T04:07:25Z,Python,60335
autonomio/talos,https://github.com/autonomio/talos,1181,31,192,10,2018-05-04T20:36:41Z,Python,4690
swisskyrepo/SSRFmap,https://github.com/swisskyrepo/SSRFmap,1008,33,193,0,2018-10-15T19:08:26Z,Python,1813
clinton-hall/nzbToMedia,https://github.com/clinton-hall/nzbToMedia,630,64,163,33,2012-11-10T22:14:03Z,Python,306799
commixproject/commix,https://github.com/commixproject/commix,2243,152,485,29,2015-03-20T08:38:26Z,Python,29535
davidhalter/jedi,https://github.com/davidhalter/jedi,4306,119,378,0,2012-02-19T23:12:30Z,Python,24702
OpenShot/openshot-qt,https://github.com/OpenShot/openshot-qt,1414,84,207,17,2015-06-01T08:39:27Z,Python,-1
jrnl-org/jrnl,https://github.com/jrnl-org/jrnl,4183,96,387,24,2012-03-29T17:23:58Z,Python,3398
Johnson0722/CTR_Prediction,https://github.com/Johnson0722/CTR_Prediction,581,22,240,0,2017-12-29T08:18:22Z,Python,2218
CppCon/CppCon2017,https://github.com/CppCon/CppCon2017,1371,137,170,0,2016-09-29T17:56:55Z,Python,242
localstack/localstack,https://github.com/localstack/localstack,23790,459,1681,11,2016-10-25T23:48:03Z,Python,24639
dinosaursflyingspaceships/thinkster-django-angular-boilerplate,https://github.com/dinosaursflyingspaceships/thinkster-django-angular-boilerplate,211,12,1385,0,2014-11-03T21:04:43Z,Python,161
shicai/MobileNet-Caffe,https://github.com/shicai/MobileNet-Caffe,1147,64,675,0,2017-04-27T07:29:23Z,Python,64
instagrambot/instabot,https://github.com/instagrambot/instabot,3384,212,988,57,2017-01-13T19:34:27Z,Python,15042
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet,762,50,151,81,2015-03-14T21:16:31Z,Python,-1
opencv/openvino_training_extensions,https://github.com/opencv/openvino_training_extensions,612,42,224,0,2018-10-26T14:02:29Z,Python,88409
InsaneLife/dssm,https://github.com/InsaneLife/dssm,339,19,144,0,2018-01-12T03:59:01Z,Python,1244
astropy/astroquery,https://github.com/astropy/astroquery,269,32,224,18,2012-06-25T20:52:07Z,Python,-1
ansible-community/molecule,https://github.com/ansible-community/molecule,2659,121,443,16,2015-11-18T00:13:28Z,Python,19028
qubvel/segmentation_models,https://github.com/qubvel/segmentation_models,2071,70,486,4,2018-06-05T13:27:56Z,Python,3933
mailgun/flanker,https://github.com/mailgun/flanker,1392,73,150,33,2013-11-14T01:07:11Z,Python,13759
andymccurdy/django-tips-and-tricks,https://github.com/andymccurdy/django-tips-and-tricks,105,4,4,0,2010-08-25T22:22:56Z,Python,109
feeluown/FeelUOwn,https://github.com/feeluown/FeelUOwn,2488,123,424,14,2015-06-25T08:06:16Z,Python,16801
p-christ/Deep-Reinforcement-Learning-Algorithms-with-PyTorch,https://github.com/p-christ/Deep-Reinforcement-Learning-Algorithms-with-PyTorch,2279,97,466,0,2018-09-07T13:01:21Z,Python,5324
Kinto/kinto,https://github.com/Kinto/kinto,3930,110,364,140,2015-02-25T13:34:23Z,Python,33997
onaio/onadata,https://github.com/onaio/onadata,161,56,108,105,2013-09-17T07:25:01Z,Python,88280
OCA/account-financial-tools,https://github.com/OCA/account-financial-tools,138,98,402,0,2014-06-16T10:58:57Z,Python,6204
landlab/landlab,https://github.com/landlab/landlab,175,25,174,7,2014-05-09T04:52:50Z,Python,119918
pwndbg/pwndbg,https://github.com/pwndbg/pwndbg,2663,117,387,6,2015-02-22T21:35:19Z,Python,-1
xuannianz/EfficientDet,https://github.com/xuannianz/EfficientDet,616,23,153,0,2019-11-28T06:35:58Z,Python,6825
pulp/pulp,https://github.com/pulp/pulp,497,40,167,6,2012-08-06T13:49:20Z,Python,6825
masmu/pulseaudio-dlna,https://github.com/masmu/pulseaudio-dlna,1031,53,122,0,2014-09-30T20:44:50Z,Python,8873
datitran/object_detector_app,https://github.com/datitran/object_detector_app,1135,89,605,0,2017-06-19T13:58:50Z,Python,40946
PyCQA/prospector,https://github.com/PyCQA/prospector,1225,35,109,15,2013-08-05T07:26:30Z,Python,40946
Python3WebSpider/ProxyPool,https://github.com/Python3WebSpider/ProxyPool,1186,51,591,0,2017-07-09T16:54:47Z,Python,784
pydata/xarray,https://github.com/pydata/xarray,1587,112,515,52,2013-09-30T17:21:10Z,Python,-1
IDSIA/brainstorm,https://github.com/IDSIA/brainstorm,1291,104,153,0,2014-10-25T10:20:48Z,Python,18027
kivy/kivy,https://github.com/kivy/kivy,10855,583,2317,6,2010-11-03T20:27:32Z,Python,-1
SciTools/iris,https://github.com/SciTools/iris,359,49,185,38,2012-08-06T10:09:14Z,Python,-1
tomato42/tlsfuzzer,https://github.com/tomato42/tlsfuzzer,289,36,58,0,2015-01-08T15:41:49Z,Python,66493
PaulMcInnis/JobFunnel,https://github.com/PaulMcInnis/JobFunnel,1292,34,108,5,2017-08-25T00:51:25Z,Python,2646
mirumee/saleor,https://github.com/mirumee/saleor,7054,308,2610,30,2013-02-12T16:46:39Z,Python,-1
j2labs/brubeck,https://github.com/j2labs/brubeck,515,23,65,0,2011-02-07T20:39:12Z,Python,4154
trustedsec/unicorn,https://github.com/trustedsec/unicorn,2283,211,572,0,2013-06-19T08:38:06Z,Python,1356
hadynz/repository.arabic.xbmc-addons,https://github.com/hadynz/repository.arabic.xbmc-addons,134,92,399,0,2012-08-26T03:32:13Z,Python,16305
livz/cloacked-pixel,https://github.com/livz/cloacked-pixel,280,10,78,0,2014-09-25T12:41:29Z,Python,230
thunder-project/thunder,https://github.com/thunder-project/thunder,760,101,181,9,2013-06-11T07:00:47Z,Python,230
cjhutto/vaderSentiment,https://github.com/cjhutto/vaderSentiment,2220,123,600,1,2014-11-17T16:31:45Z,Python,774
jorvis/biocode,https://github.com/jorvis/biocode,229,28,140,2,2013-08-22T15:37:10Z,Python,29301
muammar/mkchromecast,https://github.com/muammar/mkchromecast,1432,44,95,37,2016-03-19T11:59:07Z,Python,-1
bitcoin-abe/bitcoin-abe,https://github.com/bitcoin-abe/bitcoin-abe,873,111,506,0,2011-06-13T03:43:17Z,Python,13750
matteobertozzi/Hadoop,https://github.com/matteobertozzi/Hadoop,232,19,135,0,2011-01-09T14:28:38Z,Python,2694
cs230-stanford/cs230-code-examples,https://github.com/cs230-stanford/cs230-code-examples,1233,55,506,0,2018-01-13T19:40:37Z,Python,3770
blueset/ehForwarderBot,https://github.com/blueset/ehForwarderBot,2103,73,214,2,2016-05-30T05:25:56Z,Python,5331
pyexcel/pyexcel,https://github.com/pyexcel/pyexcel,779,52,125,52,2014-08-22T12:52:20Z,Python,14653
miso-belica/sumy,https://github.com/miso-belica/sumy,2209,110,393,12,2013-02-20T12:56:48Z,Python,6084
Suor/funcy,https://github.com/Suor/funcy,2271,79,109,0,2012-10-13T00:44:57Z,Python,4603
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv,1228,55,98,20,2017-03-07T18:18:25Z,Python,4405
joshuaduffy/dota2api,https://github.com/joshuaduffy/dota2api,235,27,88,2,2014-12-18T21:06:28Z,Python,1343
ThoughtfulDev/EagleEye,https://github.com/ThoughtfulDev/EagleEye,1356,73,244,0,2018-02-17T13:58:57Z,Python,894
j3ssie/Osmedeus,https://github.com/j3ssie/Osmedeus,2206,84,379,9,2018-11-10T04:17:18Z,Python,7589
bojone/vae,https://github.com/bojone/vae,524,17,206,0,2018-03-18T02:47:00Z,Python,1049
brandon-rhodes/fopnp,https://github.com/brandon-rhodes/fopnp,1073,108,523,1,2013-12-10T19:21:57Z,Python,6639
codingforentrepreneurs/OpenCV-Python-Series,https://github.com/codingforentrepreneurs/OpenCV-Python-Series,209,24,300,0,2018-04-09T20:01:48Z,Python,918
pfnet-research/sngan_projection,https://github.com/pfnet-research/sngan_projection,813,30,168,0,2018-02-02T09:35:34Z,Python,3574
eudicots/Cactus,https://github.com/eudicots/Cactus,3336,131,302,0,2011-02-28T11:56:43Z,Python,8289
facebookresearch/maskrcnn-benchmark,https://github.com/facebookresearch/maskrcnn-benchmark,7360,193,1997,1,2018-10-24T17:34:50Z,Python,16050
TokenMarketNet/smart-contracts,https://github.com/TokenMarketNet/smart-contracts,1143,132,457,0,2017-03-20T22:36:58Z,Python,10828
kvesteri/sqlalchemy-utils,https://github.com/kvesteri/sqlalchemy-utils,611,20,184,0,2013-02-18T16:48:22Z,Python,20835
mjhea0/flaskr-tdd,https://github.com/mjhea0/flaskr-tdd,1743,61,241,0,2013-11-09T23:41:32Z,Python,241
man-group/arctic,https://github.com/man-group/arctic,1851,156,377,4,2015-05-29T13:37:30Z,Python,24616
revolunet/sublimetext-markdown-preview,https://github.com/revolunet/sublimetext-markdown-preview,2373,53,313,40,2012-01-31T10:21:41Z,Python,2427
